"containsURL","URLcount","RTcount","htgScore","reply","OOVratio","first_follower","first_popularity","first_mention","first_list","sum_follower","sum_popularity","sum_mention","sum_list","important_follower","important_popularity","important_mention","important_list"
"True","2.0","0","488.0","False","0.025","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"True","1.0","0","39.75","False","0.0481","319","0.2","0","16","319","0.2","0","16","319","0.2","0","16"
"True","1.0","0","91.6667","False","0.0213","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"True","2.0","0","488.0","False","0.0526","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"False","0.0","3","245.0","False","0.025","2856","0.2","0","30","2856","0.2","0","30","2856","0.2","0","30"
"True","77.0","0","320.5","False","0.0465","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"False","0.0","2","244.5","False","0.0321","6031","0.2","0","333","6031","0.2","0","333","6031","0.2","0","333"
"False","0.0","0","86.6667","False","0.0411","147","0.2","0","1","147","0.2","0","1","147","0.2","0","1"
"True","14.0","0","236.0","False","0.0272","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"False","0.0","1","488.0","False","0.0351","142","0.2","0","23","142","0.2","0","23","142","0.2","0","23"
"True","3.0","2","488.0","False","0.0881","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"True","1.0","1","488.0","False","0.039","1195","0.2","3","22","1195","0.2","3","22","1195","0.2","3","22"
"False","0.0","0","488.0","False","0.0278","142","0.2","0","23","142","0.2","0","23","142","0.2","0","23"
"False","0.0","0","260.0","False","0.0759","1184","0.2","0","38","1184","0.2","0","38","1184","0.2","0","38"
"True","1.0","1","488.0","False","0.0976","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"False","0.0","1","72.8571","False","0.0267","396","0.2","1","1","396","0.2","1","1","396","0.2","1","1"
"True","77.0","0","320.5","False","0.0465","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","1.0","0","55.0","False","0.0449","4884","0.2","0","99","4884","0.2","0","99","4884","0.2","0","99"
"False","0.0","0","130.5","False","0.0492","40","0.2","0","0","40","0.2","0","0","40","0.2","0","0"
"False","0.0","0","201.6667","False","0.0159","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","14.0","0","236.0","False","0.0272","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","2.0","0","374.0","False","0.0452","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"False","0.0","0","165.0","False","0.0432","93","0.2","0","0","93","0.2","0","0","93","0.2","0","0"
"True","1.0","0","260.0","False","0.0762","636","0.2","0","3","636","0.2","0","3","636","0.2","0","3"
"True","2.0","0","64.125","False","0.0197","682","0.2","0","56","682","0.2","0","56","682","0.2","0","56"
"False","0.0","0","488.0","False","0.0421","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","1.0","0","137.0","False","0.0833","3","0.2","0","0","3","0.2","0","0","3","0.2","0","0"
"False","0.0","0","195.0","False","0.0145","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","77.0","0","320.5","False","0.0455","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","77.0","0","320.5","False","0.0465","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"False","0.0","0","488.0","False","0.0421","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","1.0","0","58.3333","False","0.0463","4884","0.2","0","99","4884","0.2","0","99","4884","0.2","0","99"
"True","1.0","1","143.5","False","0.0513","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"False","0.0","1","68.375","False","0.016","1289","0.2","1","6","1289","0.2","1","6","1289","0.2","1","6"
"True","1.0","0","488.0","False","0.075","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"False","0.0","2","86.1667","False","0.0329","396","0.2","1","1","396","0.2","1","1","396","0.2","1","1"
"True","77.0","0","320.5","False","0.0455","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","1.0","0","84.6667","False","0.0323","682","0.2","0","56","682","0.2","0","56","682","0.2","0","56"
"True","1.0","0","488.0","False","0.0625","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"False","0.0","1","488.0","False","0.0543","416","0.2","1","5","416","0.2","1","5","416","0.2","1","5"
"True","1.0","0","139.5","False","0.0439","276","0.2","0","0","276","0.2","0","0","276","0.2","0","0"
"False","0.0","1","488.0","False","0.0421","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"False","0.0","1","163.3333","False","0.0336","370","0.2","1","5","370","0.2","1","5","370","0.2","1","5"
"False","0.0","0","104.6667","False","0.0392","58","0.2","0","6","58","0.2","0","6","58","0.2","0","6"
"True","1.0","0","94.5","False","0.0455","35","0.2","0","0","35","0.2","0","0","35","0.2","0","0"
"False","0.0","0","131.5","False","0.0169","62","0.2","0","0","62","0.2","0","0","62","0.2","0","0"
"True","1.0","1","374.0","False","0.0376","1195","0.2","3","22","1195","0.2","3","22","1195","0.2","3","22"
"True","3.0","1","93.5","False","0.0263","682","0.2","0","56","682","0.2","0","56","682","0.2","0","56"
"True","1.0","0","488.0","False","0.043","416","0.2","1","5","416","0.2","1","5","416","0.2","1","5"
"False","0.0","0","130.0","False","0.0318","622","0.2","0","1","622","0.2","0","1","622","0.2","0","1"
